Index,p0,p1,p2,p3,camber_0.03,camber_0.2,camber_0.4,camber_0.6,camber_0.8,U10_a0_OF_cl,U10_a0_OF_cd,U10_a1_OF_cl,U10_a1_OF_cd,U10_a3_OF_cl,U10_a3_OF_cd
163,0.00022,0.008474,-0.001515,0.006984,-0.000128,0.001809,0.004792,0.011864,0.013734,0.319713,0.003296,0.531586,0.001037,0.675824,0.039749
165,-0.000823,0.006839,0.002754,0.014309,-0.000266,0.001117,0.005513,0.015879,0.015282,0.338197,0.004021,0.551297,0.001299,0.697476,0.037273
166,0.003015,0.004443,0.003884,0.007438,0.000206,0.002298,0.005062,0.01366,0.013916,0.329673,0.00397,0.542252,0.001293,0.677758,0.04119
167,-0.008803,0.012552,0.002287,-0.002373,-0.001244,-0.001165,0.007012,0.009604,0.011912,0.262464,0.001814,0.454702,0.00062,0.66147,0.033997
168,-0.001381,0.00952,0.005013,0.018891,-0.000325,0.001439,0.007185,0.018297,0.016244,0.328233,0.004147,0.570952,0.001144,0.715657,0.035904
169,-0.001538,0.00842,0.001801,0.004511,-0.000349,0.001106,0.005687,0.011969,0.013291,0.293775,0.003084,0.519824,0.000797,0.676767,0.037302
170,-0.006974,0.013604,0.00271,0.003439,-0.00101,-0.000176,0.007637,0.011898,0.013091,0.295876,0.001637,0.481161,0.000541,0.676653,0.033373
171,-0.00525,0.009975,0.00162,0.010047,-0.000809,-0.00017,0.006112,0.013978,0.014404,0.334956,0.002359,0.514293,0.000841,0.687336,0.035263
172,0.008098,0.005004,0.00626,0.02133,0.000847,0.004603,0.006284,0.019545,0.016757,0.363578,0.004087,0.626683,0.002761,0.709336,0.041369
173,0.007164,0.006271,0.004955,0.019503,0.000735,0.004433,0.0063,0.018477,0.016366,0.368462,0.004413,0.613679,0.002221,0.70873,0.041602
174,-0.01469,0.01905,-0.001619,-0.003492,-0.001957,-0.002462,0.00797,0.008044,0.011621,0.218767,0.002121,0.416181,0.00253,0.654661,0.032843
176,-0.005164,0.012351,0.004105,0.00689,-0.000788,0.00037,0.007697,0.013595,0.01381,0.31851,0.001951,0.497522,0.000777,0.685636,0.033742
178,-0.011892,0.0175,0.001737,0.007061,-0.001612,-0.001521,0.008612,0.012975,0.013804,0.266344,0.002269,0.462637,0.001962,0.680614,0.032413
179,0.005473,0.005304,0.005328,0.019177,0.000518,0.003533,0.005999,0.018463,0.016307,0.359526,0.004493,0.606265,0.002151,0.709682,0.040529
180,-0.008263,0.011242,-0.001478,-0.002059,-0.001182,-0.001253,0.005424,0.008548,0.011912,0.261274,0.001652,0.456087,0.000751,0.659261,0.03533
181,-0.007639,0.011484,0.000832,0.000753,-0.001103,-0.000903,0.006255,0.010305,0.012518,0.284233,0.001571,0.464685,0.00078,0.667995,0.034707
